parameter,value,model
a,0.017184292098914256,delta_p = a*Q^2 + b*Q + c
b,0.0367085865869829,delta_p = a*Q^2 + b*Q + c
c,0.28315978377750545,delta_p = a*Q^2 + b*Q + c
