parameter,value,std,model
k_solids__g,2.2573903137167455,0.0007556810714762161,0.5 * k * (1 + tanh((t - l) / m))
l_solids__s,19.833265351639792,0.013966351070490149,0.5 * k * (1 + tanh((t - l) / m))
m_solids__s,9.341259287385892,0.024289146859358998,0.5 * k * (1 + tanh((t - l) / m))
first_drop_offset__s,8.0,0.0,0.5 * k * (1 + tanh((t - l) / m))
phi_m,0.122021098038743,4.084762548520087e-05,0.5 * k * (1 + tanh((t - l) / m))
