parameter,value,std,model
k__percent,25.624173531031303,1.2870667523636905,0.5 * k * (1 - tanh((t - l) / m))
l__s,20.855558650732497,0.9085592917500019,0.5 * k * (1 - tanh((t - l) / m))
m__s,8.873330144415936,1.4509161522677378,0.5 * k * (1 - tanh((t - l) / m))
