interval_start_s,interval_end_s,interval_label,p1_mean,p1_std,p2_mean,p2_std,delta_p_mean,delta_p_std,flow_rate_mean,flow_rate_std
16.0,20.0,16.000-20.000,478.9424418604651,0.6789245452964364,504.7755813953488,1.2506841981312253,25.83313953488372,1.0881220296892322,0.20725788524398742,0.38372692728057173
32.0,34.0,32.000-34.000,462.8392857142857,0.7632402729715753,494.5785714285714,0.8925135052999763,31.739285714285717,1.0533746789655214,0.5483309881888427,0.17909239653226214
42.0,50.0,42.000-50.000,439.3435294117647,0.7117859092959559,483.33676470588233,1.3409506457934162,43.99323529411765,1.0298042769087214,2.0730517817617238,0.26491840043630926
59.0,61.0,59.000-61.000,424.09642857142853,0.4799274498743069,494.15714285714284,1.0310535527175244,70.06071428571428,0.8656851126626314,4.111664207991953,0.2596780256919426
66.0,70.0,66.000-70.000,389.0226744186047,1.097952829261072,483.4058139534884,1.3398520397312847,94.38313953488372,0.8981084774175655,5.369456840693936,0.6640988532890235
