interval_start_s,interval_end_s,interval_label,p1_mean,p1_std,p2_mean,p2_std,delta_p_mean,delta_p_std,flow_rate_mean,flow_rate_std
16.0,21.0,16.000-21.000,801.4027722222222,3.565274752090378,835.7319407407407,2.7273211634999823,34.32916851851852,2.2391471454108545,0.6367717593317287,0.2852252981245921
24.0,29.0,24.000-29.000,801.4249925925926,1.4160697340322557,832.8236074074075,2.2016972669774098,31.398614814814817,2.326752642341739,0.41134791985811164,0.40154531604704996
33.0,37.0,33.000-37.000,791.2389488372093,1.0177731703909667,829.2970860465117,1.3773112171358655,38.058137209302345,1.5160198348091922,1.1841184232228272,0.2307863401128096
40.0,46.0,40.000-46.000,792.8080799999999,1.3778478544681532,827.5376907692307,1.495339564355181,34.72961076923078,2.072614680340615,0.7541216803425598,0.2723737459463685
49.0,51.0,49.000-51.000,784.9392857142857,0.8041512396842553,823.7928523809524,1.49510245756571,38.85356666666667,1.2613644970163456,1.332756533864978,0.17649155785993237
53.0,56.0,53.000-56.000,776.38670625,0.431942345269706,822.218753125,1.2669300115568722,45.832046875,1.1624206664527232,2.1208252902653855,0.13338195477790762
59.0,62.0,59.000-62.000,741.2515625,1.3987744852133486,812.817959375,1.2421039486549086,71.56639687500001,1.7540226725434211,4.114621630754135,0.21021238095107533
64.0,67.0,64.000-67.000,724.9090848484849,0.8550892932616793,810.3636272727273,1.4645896061851127,85.45454242424243,1.4195595065085953,4.863458539445678,0.20771070935168995
69.0,71.0,69.000-71.000,692.3428571428572,3.1076231155935474,808.6928476190476,1.088384255040033,116.34999047619047,3.2598874215077855,6.225655347474158,0.29361099211811076
74.0,78.0,74.000-78.000,673.2691860465117,3.339499522353706,807.3534837209303,1.2480216077056188,134.0842976744186,2.9706354052136352,6.8755040215821035,0.61811028913583
